valid_time,latitude,longitude,number,expver,t2m,sp,crr,lsrr,ptype,u100,v100,cbh
2000-02-18,25.74,80.18,0,0001,283.87305,99664.81,0.0,0.0,0.0,-5.084653,2.2515678,
2000-02-19,25.74,80.18,0,0001,283.49292,99839.56,0.0,0.0,0.0,-2.43793,-3.3978252,
2000-02-20,25.74,80.18,0,0001,284.16846,99842.56,0.0,0.0,0.0,-3.0770006,0.8755728,3799.388
2000-02-21,25.74,80.18,0,0001,287.29492,99708.875,0.0,0.0,0.0,-4.411929,-2.0843525,3145.256
2000-02-22,25.74,80.18,0,0001,288.76562,99957.06,1.4366684e-08,0.0,0.0,-3.0705261,-3.5202913,2525.05
2000-02-23,25.74,80.18,0,0001,285.91113,100104.19,0.0,0.0,0.0,1.1383495,-4.9378414,3122.1768
2000-02-24,25.74,80.18,0,0001,285.1411,100114.75,0.0,0.0,0.0,3.455534,-6.3246975,
2000-02-25,25.74,80.18,0,0001,283.78076,100052.625,0.0,0.0,0.0,1.5131531,-4.1368093,
2000-02-26,25.74,80.18,0,0001,285.89697,99748.44,0.0,0.0,0.0,-0.22238898,-1.8744564,
2000-02-27,25.74,80.18,0,0001,283.93506,99757.75,0.0,0.0,0.0,-1.100524,2.351058,
2000-02-28,25.74,80.18,0,0001,285.44922,99857.56,0.0,0.0,0.0,3.4074287,2.544076,
2000-02-29,25.74,80.18,0,0001,288.13965,99790.94,0.0,0.0,0.0,1.3026352,-3.31075,
2000-03-01,25.74,80.18,0,0001,289.75903,99390.31,0.0,0.0,0.0,-3.6814594,1.4026508,
2000-03-02,25.74,80.18,0,0001,292.57422,99341.25,0.0,0.0,0.0,-1.879592,0.012333777,3110.3293
2000-03-03,25.74,80.18,0,0001,290.30933,99446.0,0.0,0.0,0.0,0.06527144,-0.50161695,
2000-03-04,25.74,80.18,0,0001,291.16577,99335.81,0.0,0.0,0.0,-2.5654345,3.314417,
2000-03-05,25.74,80.18,0,0001,292.31396,99264.69,0.0,0.0,0.0,8.039588,0.37850255,
2000-03-06,25.74,80.18,0,0001,288.23682,99463.44,0.0,0.0,0.0,1.9576101,-3.393712,
2000-03-07,25.74,80.18,0,0001,288.17358,99520.44,0.0,0.0,0.0,-4.336795,-0.58450156,
2000-03-08,25.74,80.18,0,0001,290.53003,99597.56,0.0,0.0,0.0,-0.3035183,-4.6289234,2869.7644
2000-03-09,25.74,80.18,0,0001,287.7827,99510.44,0.0,0.0,0.0,5.3314514,-4.89079,
2000-03-10,25.74,80.18,0,0001,284.927,99489.19,0.0,0.0,0.0,4.039261,-1.7324162,
2000-03-11,25.74,80.18,0,0001,288.54102,99147.875,0.0,0.0,0.0,0.76642364,4.2870235,
2000-03-12,25.74,80.18,0,0001,291.44385,99005.375,0.0,0.0,0.0,-2.502985,1.9596825,3655.0112
2000-03-13,25.74,80.18,0,0001,292.79248,98882.75,0.0,0.0,0.0,-7.4904175,0.94611,
2000-03-14,25.74,80.18,0,0001,289.30762,99496.25,0.0,0.0,0.0,-1.659853,-1.9446583,
2000-03-15,25.74,80.18,0,0001,288.29102,99678.44,0.0,0.0,0.0,4.5347767,-4.363714,
