valid_time,latitude,longitude,number,expver,t2m,sp,lsrr,ptype,u100,v100,cbh
1980-02-21,25.74,80.18,0,0001,289.63867,100118.19,0.0,0.0,4.8720884,3.3659964,
1980-02-22,25.74,80.18,0,0001,289.1626,99973.625,0.0,0.0,3.710639,-3.3191042,
1980-02-23,25.74,80.18,0,0001,290.4536,99770.75,0.0,0.0,4.5727444,-2.0281973,
1980-02-24,25.74,80.18,0,0001,289.95435,99592.81,0.0,0.0,3.4674568,-3.9122343,
1980-02-25,25.74,80.18,0,0001,287.08813,99660.875,0.0,0.0,7.3672285,-3.3622532,
1980-02-26,25.74,80.18,0,0001,289.0127,99713.94,0.0,0.0,7.6910267,-0.95978236,
1980-02-27,25.74,80.18,0,0001,290.11792,99553.25,0.0,0.0,4.5797834,-0.55547243,
1980-02-28,25.74,80.18,0,0001,291.91187,99048.19,0.0,0.0,-2.8796453,5.0595446,6113.6953
1980-02-29,25.74,80.18,0,0001,292.98657,98951.81,0.0,0.0,-3.5081167,2.9877157,3494.2646
1980-03-01,25.74,80.18,0,0001,290.37866,99350.69,0.0,0.0,-6.20133,-2.2969303,3864.8928
1980-03-02,25.74,80.18,0,0001,287.1372,99530.94,0.0,0.0,4.124942,-2.4249592,
1980-03-03,25.74,80.18,0,0001,289.25244,99393.5,0.0,0.0,7.2391424,-1.1275272,
1980-03-04,25.74,80.18,0,0001,289.32178,99652.44,0.0,0.0,2.336275,-3.087099,
1980-03-05,25.74,80.18,0,0001,291.75708,99519.19,0.0,0.0,2.9013414,-4.196203,5042.9375
1980-03-06,25.74,80.18,0,0001,290.76562,99229.81,0.0,0.0,-6.161542,0.33400184,
1980-03-07,25.74,80.18,0,0001,289.68066,99551.19,0.0,0.0,1.9334888,-5.231634,
1980-03-08,25.74,80.18,0,0001,287.9856,99414.875,0.0,0.0,-1.2406969,-1.8896656,5579.992
1980-03-09,25.74,80.18,0,0001,287.77368,99648.5,0.0,0.0,0.08797145,-5.219798,8850.297
1980-03-10,25.74,80.18,0,0001,285.7881,99763.19,0.0,0.0,-2.720869,-3.942027,6675.789
1980-03-11,25.74,80.18,0,0001,286.02197,99906.875,0.0,0.0,-4.466938,-1.3950138,
1980-03-12,25.74,80.18,0,0001,292.63232,100015.875,0.0,0.0,-1.3481493,-7.286664,3615.613
1980-03-13,25.74,80.18,0,0001,287.55078,100144.5,0.0,0.0,2.590314,-5.061054,
1980-03-14,25.74,80.18,0,0001,286.49316,100211.06,0.0,0.0,2.6162367,-3.3978386,8820.656
1980-03-15,25.74,80.18,0,0001,287.9751,99996.31,0.0,0.0,3.824707,-3.8107471,7691.039
1980-03-16,25.74,80.18,0,0001,289.81836,99633.81,0.0,0.0,0.5847784,-1.8997765,
1980-03-17,25.74,80.18,0,0001,292.52954,99577.25,0.0,0.0,-2.711419,0.89025706,
1980-03-18,25.74,80.18,0,0001,292.24146,99683.875,0.0,0.0,-2.9821014,-0.04701718,
1980-03-19,25.74,80.18,0,0001,292.1023,99610.75,0.0,0.0,-1.8208971,-4.038582,
1980-03-20,25.74,80.18,0,0001,292.49805,99716.44,0.0,0.0,0.25897115,-3.1309605,
1980-03-21,25.74,80.18,0,0001,290.25098,99880.06,0.0,0.0,-0.30667657,-4.0498276,
1980-03-22,25.74,80.18,0,0001,294.90283,99744.81,0.0,0.0,-0.4899249,-1.1812859,
1980-03-23,25.74,80.18,0,0001,293.95142,99459.69,0.0,0.0,3.0128345,-5.1144247,
1980-03-24,25.74,80.18,0,0001,296.1006,99528.75,0.0,0.0,-4.249303,-3.2804394,
