valid_time,latitude,longitude,number,expver,tp,cp,lsp
1980-01-01,25.74,80.18,0,0001,3.6395604e-06,3.6299825e-06,0.0
1980-01-02,25.74,80.18,0,0001,0.0,0.0,0.0
1980-01-03,25.74,80.18,0,0001,0.0,0.0,0.0
1980-01-04,25.74,80.18,0,0001,0.0,0.0,0.0
1980-01-05,25.74,80.18,0,0001,0.0,0.0,0.0
1980-01-06,25.74,80.18,0,0001,0.0,0.0,0.0
1980-01-07,25.74,80.18,0,0001,0.0,0.0,0.0
1980-01-08,25.74,80.18,0,0001,0.0,0.0,0.0
1980-01-09,25.74,80.18,0,0001,0.0,0.0,0.0
1980-01-10,25.74,80.18,0,0001,0.0,0.0,0.0
1980-01-11,25.74,80.18,0,0001,0.0,0.0,0.0
1980-01-12,25.74,80.18,0,0001,1.7127837e-05,1.735668e-05,0.0
1980-01-13,25.74,80.18,0,0001,0.0,0.0,0.0
1980-01-14,25.74,80.18,0,0001,0.0,0.0,0.0
1980-01-15,25.74,80.18,0,0001,0.0,0.0,0.0
1980-01-16,25.74,80.18,0,0001,2.2986694e-07,2.2028917e-07,0.0
1980-01-17,25.74,80.18,0,0001,7.75268e-05,7.736473e-05,0.0
1980-01-18,25.74,80.18,0,0001,1.5324463e-07,1.7240023e-07,0.0
1980-01-19,25.74,80.18,0,0001,0.00012514257,0.000116005875,9.575216e-06
1980-01-20,25.74,80.18,0,0001,0.0,0.0,0.0
1980-01-21,25.74,80.18,0,0001,2.3077246e-06,2.469803e-06,0.0
1980-01-22,25.74,80.18,0,0001,0.0,0.0,0.0
1980-01-23,25.74,80.18,0,0001,0.0,0.0,0.0
1980-01-24,25.74,80.18,0,0001,0.0,0.0,0.0
1980-01-25,25.74,80.18,0,0001,0.0,0.0,0.0
1980-01-26,25.74,80.18,0,0001,0.0,0.0,0.0
1980-01-27,25.74,80.18,0,0001,0.0,0.0,0.0
1980-01-28,25.74,80.18,0,0001,0.0,0.0,0.0
1980-01-29,25.74,80.18,0,0001,0.0,0.0,0.0
1980-01-30,25.74,80.18,0,0001,0.0,0.0,0.0
1980-01-31,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-01,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-02,25.74,80.18,0,0001,3.514235e-05,3.514235e-05,0.0
1980-02-03,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-04,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-05,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-06,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-07,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-08,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-09,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-10,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-11,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-12,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-13,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-14,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-15,25.74,80.18,0,0001,1.6133577e-05,1.6371996e-05,0.0
1980-02-16,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-17,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-18,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-19,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-20,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-21,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-22,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-23,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-24,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-25,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-26,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-27,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-28,25.74,80.18,0,0001,0.0,0.0,0.0
1980-02-29,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-01,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-02,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-03,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-04,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-05,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-06,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-07,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-08,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-09,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-10,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-11,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-12,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-13,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-14,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-15,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-16,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-17,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-18,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-19,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-20,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-21,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-22,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-23,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-24,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-25,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-26,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-27,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-28,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-29,25.74,80.18,0,0001,9.0763615e-06,9.400518e-06,0.0
1980-03-30,25.74,80.18,0,0001,0.0,0.0,0.0
1980-03-31,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-01,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-02,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-03,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-04,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-05,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-06,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-07,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-08,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-09,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-10,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-11,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-12,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-13,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-14,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-15,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-16,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-17,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-18,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-19,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-20,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-21,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-22,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-23,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-24,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-25,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-26,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-27,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-28,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-29,25.74,80.18,0,0001,0.0,0.0,0.0
1980-04-30,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-01,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-02,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-03,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-04,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-05,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-06,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-07,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-08,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-09,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-10,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-11,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-12,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-13,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-14,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-15,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-16,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-17,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-18,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-19,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-20,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-21,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-22,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-23,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-24,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-25,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-26,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-27,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-28,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-29,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-30,25.74,80.18,0,0001,0.0,0.0,0.0
1980-05-31,25.74,80.18,0,0001,0.0,0.0,0.0
1980-06-01,25.74,80.18,0,0001,0.0,0.0,0.0
1980-06-02,25.74,80.18,0,0001,0.0,0.0,0.0
1980-06-03,25.74,80.18,0,0001,0.0,0.0,0.0
1980-06-04,25.74,80.18,0,0001,0.0,0.0,0.0
1980-06-05,25.74,80.18,0,0001,0.0,0.0,0.0
1980-06-06,25.74,80.18,0,0001,0.0,0.0,0.0
1980-06-07,25.74,80.18,0,0001,0.0018014926,0.00061544264,0.001185983
1980-06-08,25.74,80.18,0,0001,0.00887724,0.00088210753,0.007995114
1980-06-09,25.74,80.18,0,0001,0.0,0.0,0.0
1980-06-10,25.74,80.18,0,0001,0.0,0.0,0.0
1980-06-11,25.74,80.18,0,0001,1.7415121e-05,1.7167113e-05,0.0
1980-06-12,25.74,80.18,0,0001,0.0,0.0,0.0
1980-06-13,25.74,80.18,0,0001,0.0,0.0,0.0
1980-06-14,25.74,80.18,0,0001,0.0,0.0,0.0
1980-06-15,25.74,80.18,0,0001,0.0,0.0,0.0
1980-06-16,25.74,80.18,0,0001,0.0,0.0,0.0
1980-06-17,25.74,80.18,0,0001,0.0,0.0,0.0
1980-06-18,25.74,80.18,0,0001,0.0,0.0,0.0
1980-06-19,25.74,80.18,0,0001,0.0,0.0,0.0
1980-06-20,25.74,80.18,0,0001,1.4498673e-06,0.0,1.4498673e-06
1980-06-21,25.74,80.18,0,0001,0.0016901072,0.0013809344,0.00030927733
1980-06-22,25.74,80.18,0,0001,1.8159e-05,1.7987346e-05,3.4331134e-07
1980-06-23,25.74,80.18,0,0001,0.00017030023,4.9152834e-05,0.00012105207
1980-06-24,25.74,80.18,0,0001,3.9798397e-05,1.8019535e-05,2.1607208e-05
1980-06-25,25.74,80.18,0,0001,2.390334e-05,1.12930775e-05,1.2839108e-05
1980-06-26,25.74,80.18,0,0001,0.00025619962,0.00013663313,0.00011941383
1980-06-27,25.74,80.18,0,0001,0.00045950967,0.0004454723,1.3427259e-05
1980-06-28,25.74,80.18,0,0001,0.0024521842,0.0023708013,8.123036e-05
1980-06-29,25.74,80.18,0,0001,1.215108e-05,9.604473e-06,2.5370282e-06
1980-06-30,25.74,80.18,0,0001,1.9407831e-05,1.3339437e-05,5.8967435e-06
1980-07-01,25.74,80.18,0,0001,1.7548282e-06,5.341031e-07,1.2207256e-06
1980-07-02,25.74,80.18,0,0001,9.364789e-06,6.851734e-06,2.2699378e-06
1980-07-03,25.74,80.18,0,0001,8.393404e-06,8.317063e-06,1.3352576e-07
1980-07-04,25.74,80.18,0,0001,8.956535e-05,5.794903e-05,3.1969204e-05
1980-07-05,25.74,80.18,0,0001,0.0012144516,0.00018049729,0.0010337445
1980-07-06,25.74,80.18,0,0001,0.000433038,0.00024414575,0.00018890158
1980-07-07,25.74,80.18,0,0001,6.5204935e-05,5.5849145e-05,9.1269485e-06
1980-07-08,25.74,80.18,0,0001,0.00019055336,0.00014959197,4.0722953e-05
1980-07-09,25.74,80.18,0,0001,0.0009865642,0.0006232222,0.0003635895
1980-07-10,25.74,80.18,0,0001,0.0010428787,0.00061688945,0.00042606564
1980-07-11,25.74,80.18,0,0001,0.00024358898,9.045667e-05,0.00015269377
1980-07-12,25.74,80.18,0,0001,0.000454457,0.00036504888,8.926504e-05
1980-07-13,25.74,80.18,0,0001,0.0019855213,0.0018969048,8.862626e-05
1980-07-14,25.74,80.18,0,0001,0.00081270817,0.0006630381,0.00014966987
1980-07-15,25.74,80.18,0,0001,0.00031967345,0.00016243137,0.00015769977
1980-07-16,25.74,80.18,0,0001,0.0012095412,0.00067138276,0.0005383205
1980-07-17,25.74,80.18,0,0001,0.00023952102,2.1044107e-05,0.0002182289
1980-07-18,25.74,80.18,0,0001,0.0001955429,3.4583165e-05,0.00016095972
1980-07-19,25.74,80.18,0,0001,0.0018968566,0.00018072057,0.0017162312
1980-07-20,25.74,80.18,0,0001,0.0,0.0,0.0
1980-07-21,25.74,80.18,0,0001,2.6332753e-05,2.0103776e-05,6.2385607e-06
1980-07-22,25.74,80.18,0,0001,0.00021213591,5.3023963e-05,0.00015911195
1980-07-23,25.74,80.18,0,0001,4.2728243e-06,9.3468043e-07,3.2046182e-06
1980-07-24,25.74,80.18,0,0001,0.0012823965,0.0012363074,4.617464e-05
1980-07-25,25.74,80.18,0,0001,7.482451e-05,3.3417266e-05,4.1407227e-05
1980-07-26,25.74,80.18,0,0001,1.9449344e-06,0.0,1.9449344e-06
1980-07-27,25.74,80.18,0,0001,0.00013587796,0.000121706296,1.3771173e-05
1980-07-28,25.74,80.18,0,0001,0.00016021066,4.9457536e-05,0.000111039146
1980-07-29,25.74,80.18,0,0001,0.00037736143,0.00026819925,0.00010898098
1980-07-30,25.74,80.18,0,0001,3.6246695e-07,0.0,3.6246695e-07
1980-07-31,25.74,80.18,0,0001,0.00010483363,8.596231e-05,1.9071595e-05
1980-08-01,25.74,80.18,0,0001,0.0001941003,0.000117086616,7.701368e-05
1980-08-02,25.74,80.18,0,0001,0.0007992722,0.0007177603,8.151194e-05
1980-08-03,25.74,80.18,0,0001,7.1520015e-05,7.0013164e-05,1.4305115e-06
1980-08-04,25.74,80.18,0,0001,5.579379e-05,4.5489345e-05,1.02091235e-05
1980-08-05,25.74,80.18,0,0001,0.0,0.0,0.0
